,RK,Name,POS,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG,Year*
77,77,Curtis MartinNYJ,RB,16,1,1,100.0,18,18.0,1.1,18,1,0,0,0,,158.3,2000
78,79,Louis AguiarCHI,P,9,1,1,100.0,13,13.0,1.4,13,0,0,0,0,,118.8,2000
79,80,Kevin ThompsonCLE,QB,1,1,1,100.0,8,8.0,8.0,8,0,0,0,0,,100.0,2000
80,81,Tom BradyNE,QB,1,1,3,33.3,6,2.0,6.0,6,0,0,0,0,,42.4,2000
81,82,Jermaine LewisBAL,WR,15,1,1,100.0,3,3.0,0.2,3,0,0,0,0,,79.2,2000
82,83,Thurman ThomasMIA,RB,9,0,0,0.0,0,0.0,0.0,0,0,0,1,2,,0.0,2000
83,83,Jerry RiceSF,WR,16,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2000
84,83,Jeff FeaglesSEA,P,16,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2000
85,83,Torrance SmallPHI,WR,14,0,1,0.0,0,0.0,0.0,0,0,1,0,0,,0.0,2000
86,83,Jerome BettisPIT,RB,16,0,2,0.0,0,0.0,0.0,0,0,1,0,0,,0.0,2000
87,83,Lamar SmithMIA,RB,15,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2000
88,83,Mitch BergerMIN,P,16,0,1,0.0,0,0.0,0.0,0,0,1,0,0,,0.0,2000
89,83,Mike AlstottTB,FB,13,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2000
90,83,Bobby HoyingOAK,QB,4,0,2,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2000
91,83,Ken WalterCAR,P,16,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2000
92,83,Robert ChanceySD,RB,4,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2000
93,83,Ahman GreenGB,RB,16,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2000
94,83,Koy DetmerPHI,QB,16,0,1,0.0,0,0.0,0.0,0,0,1,0,0,,0.0,2000
95,83,Jarious JacksonDEN,QB,2,0,1,0.0,0,0.0,0.0,0,0,0,1,5,,39.6,2000
96,83,Joe HamiltonTB,QB,1,0,0,0.0,0,0.0,0.0,0,0,0,1,1,,0.0,2000
97,83,Mark HartsellCHI,QB,1,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2000
98,83,Travis BrownSEA,QB,1,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,2000
99,100,Todd HusakWSH,QB,1,2,2,100.0,-2,-1.0,-2.0,6,0,0,0,0,,79.2,2000
100,101,Tim RattaySF,QB,1,1,1,100.0,-4,-4.0,-4.0,-4,0,0,0,0,,79.2,2000
101,1,Kurt WarnerSTL,QB,16,375,546,68.7,4830,8.8,301.9,65,36,22,38,233,,101.4,2001
102,2,Peyton ManningIND,QB,16,343,547,62.7,4131,7.6,258.2,86,26,23,29,232,,84.1,2001
103,3,Brett FavreGB,QB,16,314,510,61.6,3921,7.7,245.1,67,32,15,22,151,,94.1,2001
104,4,Aaron BrooksNO,QB,16,312,558,55.9,3832,6.9,239.5,63,26,22,50,330,,76.4,2001
105,5,Rich GannonOAK,QB,16,361,549,65.8,3828,7.0,239.3,49,27,9,27,155,,95.5,2001
106,6,Trent GreenKC,QB,16,296,523,56.6,3783,7.2,236.4,67,17,24,39,198,,71.1,2001
107,7,Kerry CollinsNYG,QB,16,327,568,57.6,3764,6.6,235.3,76,19,16,36,206,,77.1,2001
108,8,Jake PlummerARI,QB,16,304,525,57.9,3653,7.0,228.3,68,18,14,29,204,,79.6,2001
109,9,Jeff GarciaSF,QB,16,316,504,62.7,3538,7.0,221.1,61,32,12,26,114,,94.8,2001
110,10,Doug FlutieSD,QB,16,294,521,56.4,3464,6.6,216.5,78,15,18,25,168,,72.0,2001
111,11,Brad JohnsonTB,QB,16,340,559,60.8,3406,6.1,212.9,47,13,11,44,269,,77.7,2001
112,12,Steve McNairTEN,QB,15,264,431,61.3,3350,7.8,223.3,71,21,12,37,251,,90.2,2001
113,13,Mark BrunellJAX,QB,15,289,473,61.1,3309,7.0,220.6,44,19,13,57,387,,84.1,2001
114,14,Jay FiedlerMIA,QB,16,273,450,60.7,3290,7.3,205.6,74,20,19,27,178,,80.3,2001
115,15,Donovan McNabbPHI,QB,16,285,493,57.8,3233,6.6,202.1,64,25,12,39,273,,84.3,2001
116,16,Jon KitnaCIN,QB,16,313,581,53.9,3216,5.5,201.0,49,12,22,25,185,,61.1,2001
117,17,Kordell StewartPIT,QB,16,266,442,60.2,3109,7.0,194.3,90,14,11,29,175,,81.7,2001
118,18,Tim CouchCLE,QB,16,272,454,59.9,3040,6.7,190.0,78,17,21,51,353,,73.1,2001
119,19,Elvis GrbacBAL,QB,14,265,467,56.7,3033,6.5,216.6,77,15,18,28,215,,71.1,2001
120,20,Chris WeinkeCAR,QB,15,293,540,54.3,2931,5.4,195.4,48,11,19,26,177,,62.0,2001
121,21,Chris ChandlerATL,QB,14,223,365,61.1,2847,7.8,203.4,94,16,14,41,261,,84.1,2001
122,22,Tom BradyNE,QB,15,264,413,63.9,2843,6.9,189.5,91,18,12,41,216,,86.5,2001
123,23,Brian GrieseDEN,QB,15,275,451,61.0,2827,6.3,188.5,65,23,19,38,241,,78.5,2001
124,24,Vinny TestaverdeNYJ,QB,16,260,441,59.0,2752,6.2,172.0,40,15,14,18,122,,75.3,2001
125,25,Daunte CulpepperMIN,QB,11,235,366,64.2,2612,7.1,237.5,57,14,13,33,186,,83.3,2001
126,26,Charlie BatchDET,QB,10,198,341,58.1,2392,7.0,239.2,76,12,12,33,176,,76.8,2001
127,27,Tony BanksWSH,QB,15,198,370,53.5,2386,6.4,159.1,85,10,10,29,173,,71.3,2001
128,28,Jim MillerCHI,QB,14,228,395,57.7,2299,5.8,164.2,66,13,10,11,72,,74.9,2001
